# RIGHT SOLUTIONS A.I. - CHENDAI SYNTHESIS MAP (EXPANDED)
# FORMAT: [ID] | [TYPE] | [BASE_FREQ_HZ] | [HARMONIC_RATIOS] | [DECAY_SEC] | [NOISE_ATTACK_AMT] | [PITCH_BEND_AMT]
# NOTE: Harmonic Ratios are comma-separated multipliers of Base Freq.
# NOTE: Noise Attack is 0.0 (clean) to 1.0 (pure noise).
# NOTE: Pitch Bend is Hz drop over time (simulates skin stretching).

# --- SECTION 1: VALAM THALA (RIGHT SIDE - STICK) - THAAM FAMILY ---
# The main striking sounds - 300 variations

THAAM_400HZ_SOFT | STICK_CENTER | 400.0 | 1.5, 2.0 | 0.18 | 0.20 | 8.0
THAAM_400HZ_MED | STICK_CENTER | 400.0 | 1.5, 2.0, 3.5 | 0.22 | 0.35 | 15.0
THAAM_400HZ_HARD | STICK_CENTER | 400.0 | 1.5, 2.0, 3.5, 4.2 | 0.25 | 0.40 | 20.0
THAAM_402HZ_SOFT | STICK_CENTER | 402.0 | 1.5, 2.0 | 0.19 | 0.21 | 8.5
THAAM_402HZ_MED | STICK_CENTER | 402.0 | 1.5, 2.0, 3.5 | 0.23 | 0.37 | 16.0
THAAM_402HZ_HARD | STICK_CENTER | 402.0 | 1.5, 2.0, 3.5, 4.2 | 0.26 | 0.42 | 21.5
THAAM_404HZ_SOFT | STICK_CENTER | 404.0 | 1.5, 2.0 | 0.20 | 0.22 | 9.0
THAAM_404HZ_MED | STICK_CENTER | 404.0 | 1.5, 2.0, 3.5 | 0.24 | 0.39 | 17.0
THAAM_404HZ_HARD | STICK_CENTER | 404.0 | 1.5, 2.0, 3.5, 4.2 | 0.27 | 0.44 | 23.0
THAAM_406HZ_SOFT | STICK_CENTER | 406.0 | 1.5, 2.0 | 0.21 | 0.23 | 9.5
THAAM_406HZ_MED | STICK_CENTER | 406.0 | 1.5, 2.0, 3.5 | 0.25 | 0.41 | 18.0
THAAM_406HZ_HARD | STICK_CENTER | 406.0 | 1.5, 2.0, 3.5, 4.2 | 0.28 | 0.46 | 24.5
THAAM_408HZ_SOFT | STICK_CENTER | 408.0 | 1.5, 2.0 | 0.22 | 0.24 | 10.0
THAAM_408HZ_MED | STICK_CENTER | 408.0 | 1.5, 2.0, 3.5 | 0.26 | 0.43 | 19.0
THAAM_408HZ_HARD | STICK_CENTER | 408.0 | 1.5, 2.0, 3.5, 4.2 | 0.29 | 0.48 | 26.0
THAAM_410HZ_SOFT | STICK_CENTER | 410.0 | 1.5, 2.0 | 0.23 | 0.25 | 10.5
THAAM_410HZ_MED | STICK_CENTER | 410.0 | 1.5, 2.0, 3.5 | 0.27 | 0.45 | 20.0
THAAM_410HZ_HARD | STICK_CENTER | 410.0 | 1.5, 2.0, 3.5, 4.2 | 0.30 | 0.50 | 27.5
THAAM_412HZ_SOFT | STICK_CENTER | 412.0 | 1.5, 2.0 | 0.24 | 0.26 | 11.0
THAAM_412HZ_MED | STICK_CENTER | 412.0 | 1.5, 2.0, 3.5 | 0.28 | 0.47 | 21.0
